new_cation,new_anion,IL_SMILES,Experimental logEC50,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
Cc1ccc(Cn2cc[n+](C)c2)cc1,F[B-](F)(F)F,Cc1ccc(Cn2cc[n+](C)c2)cc1.F[B-](F)(F)F,2.67,C12H15BF4N2,12.0,15.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCn1cc[n+](C)c1,O=S(=O)([O-])O,CCCCn1cc[n+](C)c1.O=S(=O)([O-])O,3.28780173,C8H16N2O4S,8.0,16.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
CC[n+]1ccc(N(C)C)cc1,[Br-],CC[n+]1ccc(N(C)C)cc1.[Br-],2.9,C9H15BrN2,9.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
COCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.25,C11H20F6N2O5S2,11.0,20.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
C[n+]1ccn(CCO)c1,F[B-](F)(F)F,C[n+]1ccn(CCO)c1.F[B-](F)(F)F,3.482873584,C6H11BF4N2O,6.0,11.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-],CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.33,C25H46ClN,25.0,46.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCn1cc[n+](C)c1,[Br-],CCCCn1cc[n+](C)c1.[Br-],3.426511261,C8H15BrN2,8.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
COCCn1cc[n+](C)c1,[Cl-],COCCn1cc[n+](C)c1.[Cl-],4.6,C7H13ClN2O,7.0,13.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,O=S1(=O)N=C([O-])c2ccccc21,CCCCCCn1cc[n+](C)c1.O=S1(=O)N=C([O-])c2ccccc21,2.29,C17H23N3O3S,17.0,23.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
C[N+]1(Cc2ccccc2)CCOCC1,CCC(CC)C(=O)[O-],C[N+]1(Cc2ccccc2)CCOCC1.CCC(CC)C(=O)[O-],4.13,C18H29NO3,18.0,29.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC[n+]1cccc(C)c1,[Cl-],CCCC[n+]1cccc(C)c1.[Cl-],3.86,C10H16ClN,10.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
OCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,OCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.55,C10H12F6N2O5S2,10.0,12.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,3.3,C7H13F6N2P,7.0,13.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
CCCCCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,CCCCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,3.3,C19H24N2O5S,19.0,24.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
C[n+]1ccn(CCCCCCCC(=O)O)c1,[Br-],C[n+]1ccn(CCCCCCCC(=O)O)c1.[Br-],3.78,C12H21BrN2O2,12.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
C[NH+](C)CCO,CC(=O)[O-],C[NH+](C)CCO.CC(=O)[O-],3.39,C6H15NO3,6.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCn1cc[n+](C)c1,F[B-](F)(F)F,CCCn1cc[n+](C)c1.F[B-](F)(F)F,3.45484486,C7H13BF4N2,7.0,13.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCC[n+]1ccc(C)c(C)c1,F[B-](F)(F)F,CCCC[n+]1ccc(C)c(C)c1.F[B-](F)(F)F,3.02,C11H18BF4N,11.0,18.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCC[n+]1cc(C)cc(C)c1,F[B-](F)(F)F,CCCC[n+]1cc(C)cc(C)c1.F[B-](F)(F)F,3.26,C11H18BF4N,11.0,18.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
COCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.38,C11H14F6N2O5S2,11.0,14.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
